description,name,geometry
NORTH-EAST REGION,ANG MO KIO,"<Polygon><outerBoundaryIs><LinearRing><coordinates>103.857207,1.396537,0.0 103.856751,1.396954,0.0 103.856252,1.397284,0.0 103.855534,1.397563,0.0 103.855182,1.3977,0.0 103.854042,1.397636,0.0 103.853919,1.397629,0.0 103.853655,1.397614,0.0 103.853635,1.397606,0.0 103.852491,1.39714,0.0 103.852388,1.397088,0.0 103.852037,1.396908,0.0 103.851924,1.39685,0.0 103.851884,1.39684,0.0 103.851862,1.396826,0.0 103.851036,1.396602,0.0 103.850071,1.396469,0.0 103.849731,1.396482,0.0 103.84963,1.396486,0.0 103.849226,1.396501,0.0 103.849168,1.396503,0.0 103.847792,1.396555,0.0 103.846631,1.396607,0.0 103.84494,1.396613,0.0 103.843808,1.396531,0.0 103.84364,1.396517,0.0 103.842681,1.396437,0.0 103.842045,1.396311,0.0 103.840465,1.395987,0.0 103.838967,1.395594,0.0 103.83654,1.39499,0.0 103.836426,1.394961,0.0 103.83566,1.394728,0.0 103.835041,1.39454,0.0 103.83468,1.394451,0.0 103.834494,1.394405,0.0 103.834453,1.394395,0.0 103.834401,1.394383,0.0 103.834269,1.39435,0.0 103.834215,1.394337,0.0 103.834095,1.394307,0.0 103.833859,1.394253,0.0 103.833637,1.394202,0.0 103.832357,1.393908,0.0 103.831517,1.393683,0.0 103.829735,1.393266,0.0 103.827372,1.392948,0.0 103.827292,1.392943,0.0 103.827148,1.392935,0.0 103.826879,1.392923,0.0 103.82661,1.392915,0.0 103.82634,1.392911,0.0 103.826071,1.392912,0.0 103.825802,1.392916,0.0 103.825533,1.392925,0.0 103.825263,1.392938,0.0 103.824994,1.392955,0.0 103.824726,1.392975,0.0 103.824457,1.393,0.0 103.824189,1.393029,0.0 103.82392,1.393062,0.0 103.823654,1.3931,0.0 103.823405,1.393138,0.0 103.821893,1.393535,0.0 103.818822,1.394341,0.0 103.818749,1.393447,0.0 103.818606,1.392824,0.0 103.818355,1.391793,0.0 103.818019,1.390458,0.0 103.817955,1.389931,0.0 103.817987,1.389403,0.0 103.818146,1.388971,0.0 103.818384,1.38862,0.0 103.818142,1.388351,0.0 103.81807,1.388262,0.0 103.817893,1.388144,0.0 103.817847,1.388117,0.0 103.817689,1.38804,0.0 103.817474,1.387949,0.0 103.81734,1.38788,0.0 103.81706,1.387719,0.0 103.817056,1.387713,0.0 103.816939,1.387579,0.0 103.81689,1.387509,0.0 103.816736,1.38692,0.0 103.816748,1.386834,0.0 103.816897,1.386586,0.0 103.817252,1.386435,0.0 103.817362,1.386393,0.0 103.817416,1.386416,0.0 103.818046,1.386685,0.0 103.818219,1.386727,0.0 103.818675,1.38678,0.0 103.818746,1.386766,0.0 103.818854,1.386687,0.0 103.818943,1.386535,0.0 103.819017,1.386391,0.0 103.819054,1.386319,0.0 103.8191,1.386218,0.0 103.819157,1.386056,0.0 103.819196,1.385938,0.0 103.819228,1.385864,0.0 103.819304,1.38573,0.0 103.819359,1.385605,0.0 103.819368,1.385586,0.0 103.819445,1.385366,0.0 103.819452,1.38535,0.0 103.81946,1.385263,0.0 103.819469,1.385159,0.0 103.819459,1.384982,0.0 103.819411,1.384333,0.0 103.819363,1.383529,0.0 103.819341,1.383389,0.0 103.819338,1.383384,0.0 103.819296,1.383311,0.0 103.819237,1.3832,0.0 103.819009,1.382807,0.0 103.819002,1.382795,0.0 103.818943,1.382693,0.0 103.818771,1.382396,0.0 103.818616,1.382116,0.0 103.818134,1.381283,0.0 103.817792,1.380636,0.0 103.81776,1.380495,0.0 103.817752,1.380417,0.0 103.817775,1.380309,0.0 103.817819,1.380241,0.0 103.817905,1.3802,0.0 103.81806,1.380159,0.0 103.818514,1.380275,0.0 103.818534,1.380281,0.0 103.819047,1.380399,0.0 103.819592,1.380513,0.0 103.819888,1.380545,0.0 103.819996,1.380552,0.0 103.820291,1.380554,0.0 103.820474,1.380541,0.0 103.820693,1.380471,0.0 103.820764,1.380446,0.0 103.820871,1.380372,0.0 103.82105,1.380105,0.0 103.821116,1.379957,0.0 103.821211,1.379825,0.0 103.821237,1.379805,0.0 103.821341,1.37972,0.0 103.821344,1.379719,0.0 103.821511,1.37964,0.0 103.821644,1.379587,0.0 103.821709,1.379576,0.0 103.821774,1.379582,0.0 103.822105,1.379616,0.0 103.8222,1.379638,0.0 103.822257,1.379662,0.0 103.822453,1.379736,0.0 103.822546,1.379761,0.0 103.822607,1.379765,0.0 103.82264,1.379763,0.0 103.822689,1.379749,0.0 103.822765,1.37972,0.0 103.822795,1.379694,0.0 103.822809,1.379674,0.0 103.822968,1.379486,0.0 103.823042,1.379404,0.0 103.823298,1.379108,0.0 103.823508,1.378875,0.0 103.823562,1.378828,0.0 103.823722,1.378722,0.0 103.823944,1.378651,0.0 103.824119,1.378657,0.0 103.824158,1.37866,0.0 103.824182,1.378671,0.0 103.824204,1.378688,0.0 103.824289,1.378751,0.0 103.824294,1.378759,0.0 103.824415,1.378911,0.0 103.824416,1.378913,0.0 103.824513,1.379032,0.0 103.824541,1.379071,0.0 103.824634,1.379184,0.0 103.824642,1.379195,0.0 103.824811,1.379333,0.0 103.825017,1.379478,0.0 103.825117,1.379537,0.0 103.825143,1.379556,0.0 103.825153,1.37956,0.0 103.825228,1.379604,0.0 103.825251,1.379612,0.0 103.825422,1.379681,0.0 103.825428,1.379683,0.0 103.825713,1.379757,0.0 103.825818,1.379749,0.0 103.825908,1.379727,0.0 103.826045,1.379689,0.0 103.826395,1.379542,0.0 103.826544,1.37947,0.0 103.826587,1.379452,0.0 103.827135,1.379183,0.0 103.827282,1.379094,0.0 103.827324,1.379037,0.0 103.827602,1.378643,0.0 103.827682,1.37847,0.0 103.827715,1.378359,0.0 103.827795,1.377711,0.0 103.827804,1.377636,0.0 103.827812,1.377568,0.0 103.827832,1.377408,0.0 103.827669,1.377302,0.0 103.827661,1.377297,0.0 103.827646,1.377289,0.0 103.827585,1.377259,0.0 103.82754,1.377241,0.0 103.82749,1.377222,0.0 103.827053,1.377051,0.0 103.827007,1.377033,0.0 103.826913,1.376983,0.0 103.826731,1.376842,0.0 103.826507,1.376616,0.0 103.826419,1.376505,0.0 103.826363,1.376412,0.0 103.826329,1.376331,0.0 103.826308,1.376246,0.0 103.826301,1.376191,0.0 103.826318,1.375961,0.0 103.826455,1.375378,0.0 103.826579,1.374601,0.0 103.826586,1.374419,0.0 103.826555,1.374203,0.0 103.826492,1.374022,0.0 103.826416,1.373892,0.0 103.826307,1.373676,0.0 103.8263,1.373513,0.0 103.826322,1.373445,0.0 103.826405,1.37334,0.0 103.826562,1.373227,0.0 103.826745,1.373184,0.0 103.827038,1.373146,0.0 103.827059,1.373144,0.0 103.827128,1.373127,0.0 103.827186,1.373099,0.0 103.827255,1.373066,0.0 103.827314,1.373025,0.0 103.827398,1.372962,0.0 103.827475,1.372886,0.0 103.827548,1.372793,0.0 103.827604,1.372718,0.0 103.827665,1.372613,0.0 103.827709,1.372527,0.0 103.827761,1.372427,0.0 103.8278,1.372331,0.0 103.827827,1.372252,0.0 103.827869,1.372116,0.0 103.8279,1.371991,0.0 103.827926,1.371862,0.0 103.827944,1.371763,0.0 103.827991,1.371364,0.0 103.828,1.371282,0.0 103.828002,1.371205,0.0 103.828006,1.371076,0.0 103.828005,1.370974,0.0 103.828005,1.370866,0.0 103.828,1.370778,0.0 103.827991,1.370683,0.0 103.827979,1.370604,0.0 103.827966,1.370531,0.0 103.827956,1.370471,0.0 103.827947,1.37044,0.0 103.82791,1.370349,0.0 103.827881,1.370275,0.0 103.827854,1.370209,0.0 103.82783,1.370167,0.0 103.827803,1.370133,0.0 103.827459,1.369693,0.0 103.827391,1.369601,0.0 103.827376,1.369568,0.0 103.827357,1.369518,0.0 103.827344,1.369457,0.0 103.827333,1.369357,0.0 103.827332,1.369274,0.0 103.827333,1.369268,0.0 103.827339,1.369215,0.0 103.827349,1.369163,0.0 103.827363,1.369113,0.0 103.827382,1.369063,0.0 103.827404,1.369015,0.0 103.82743,1.368969,0.0 103.82746,1.368925,0.0 103.827846,1.368255,0.0 103.828007,1.367994,0.0 103.828012,1.367986,0.0 103.8283,1.367472,0.0 103.828334,1.367994,0.0 103.829533,1.367912,0.0 103.830047,1.367879,0.0 103.830598,1.367837,0.0 103.830941,1.367802,0.0 103.831269,1.367769,0.0 103.831935,1.367668,0.0 103.832513,1.367549,0.0 103.832805,1.367482,0.0 103.833068,1.367418,0.0 103.833336,1.367342,0.0 103.833576,1.367268,0.0 103.833918,1.367148,0.0 103.834373,1.36699,0.0 103.835104,1.366737,0.0 103.835105,1.366737,0.0 103.835664,1.366543,0.0 103.835978,1.366434,0.0 103.836757,1.366168,0.0 103.836778,1.366161,0.0 103.836944,1.366103,0.0 103.839269,1.36527,0.0 103.839833,1.365041,0.0 103.841012,1.364612,0.0 103.84228,1.364352,0.0 103.8423,1.364352,0.0 103.842522,1.364328,0.0 103.842744,1.364306,0.0 103.842966,1.364287,0.0 103.842967,1.364287,0.0 103.843427,1.364255,0.0 103.843888,1.364233,0.0 103.844349,1.364221,0.0 103.845542,1.364113,0.0 103.84599,1.364047,0.0 103.846177,1.364007,0.0 103.846547,1.363926,0.0 103.847617,1.363586,0.0 103.847739,1.363529,0.0 103.848248,1.363286,0.0 103.84875,1.363027,0.0 103.849243,1.362753,0.0 103.849356,1.362682,0.0 103.849731,1.362406,0.0 103.849924,1.362264,0.0 103.851371,1.361103,0.0 103.851943,1.360653,0.0 103.852267,1.360327,0.0 103.852751,1.359915,0.0 103.852892,1.3598,0.0 103.853104,1.359608,0.0 103.853242,1.359469,0.0 103.853392,1.359298,0.0 103.85348,1.359175,0.0 103.853581,1.359026,0.0 103.853694,1.358849,0.0 103.853933,1.358442,0.0 103.854442,1.357366,0.0 103.854795,1.35678,0.0 103.854892,1.35665,0.0 103.855116,1.356429,0.0 103.855217,1.356329,0.0 103.855749,1.355933,0.0 103.856328,1.355647,0.0 103.856863,1.355512,0.0 103.856914,1.356133,0.0 103.856944,1.356363,0.0 103.857094,1.35716,0.0 103.857391,1.358159,0.0 103.857766,1.359216,0.0 103.857839,1.359421,0.0 103.857894,1.359576,0.0 103.857903,1.3596,0.0 103.857977,1.359807,0.0 103.858056,1.360029,0.0 103.858138,1.360259,0.0 103.858145,1.360279,0.0 103.858292,1.360692,0.0 103.858295,1.3607,0.0 103.858371,1.36091,0.0 103.858469,1.361185,0.0 103.858548,1.361408,0.0 103.858631,1.361641,0.0 103.85924,1.363351,0.0 103.859306,1.363532,0.0 103.85938,1.363739,0.0 103.859446,1.363923,0.0 103.85951,1.364105,0.0 103.859592,1.364338,0.0 103.859662,1.364533,0.0 103.859725,1.36471,0.0 103.859819,1.364972,0.0 103.859886,1.365155,0.0 103.859969,1.365392,0.0 103.860385,1.36656,0.0 103.860713,1.367517,0.0 103.86087,1.368261,0.0 103.860924,1.368905,0.0 103.860927,1.369155,0.0 103.860913,1.369417,0.0 103.860911,1.369452,0.0 103.86087,1.369824,0.0 103.860826,1.370091,0.0 103.860747,1.370431,0.0 103.860542,1.371048,0.0 103.860482,1.371188,0.0 103.860133,1.371998,0.0 103.859581,1.373251,0.0 103.859421,1.373617,0.0 103.859159,1.37435,0.0 103.858914,1.375069,0.0 103.858791,1.375586,0.0 103.858646,1.376158,0.0 103.858546,1.37655,0.0 103.858534,1.376596,0.0 103.858445,1.377079,0.0 103.858356,1.377663,0.0 103.85831,1.378031,0.0 103.858289,1.378202,0.0 103.858275,1.378622,0.0 103.858271,1.378757,0.0 103.858268,1.378856,0.0 103.858267,1.378958,0.0 103.858265,1.379087,0.0 103.858264,1.379186,0.0 103.85827,1.379342,0.0 103.858275,1.379499,0.0 103.858278,1.379614,0.0 103.858279,1.379719,0.0 103.858282,1.379832,0.0 103.85829,1.380014,0.0 103.858292,1.380152,0.0 103.858296,1.380246,0.0 103.858384,1.382803,0.0 103.858384,1.383897,0.0 103.858355,1.385037,0.0 103.858336,1.385426,0.0 103.858247,1.387567,0.0 103.858173,1.389919,0.0 103.85815,1.390469,0.0 103.858113,1.391102,0.0 103.858111,1.391112,0.0 103.858058,1.392798,0.0 103.858046,1.393168,0.0 103.858024,1.393319,0.0 103.858006,1.393448,0.0 103.857993,1.393535,0.0 103.857985,1.393593,0.0 103.857956,1.393792,0.0 103.85782,1.394736,0.0 103.857718,1.3953,0.0 103.857664,1.395604,0.0 103.857493,1.396164,0.0 103.857395,1.396291,0.0 103.857393,1.396296,0.0 103.857207,1.396537,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
EAST REGION,BEDOK,"<Polygon><outerBoundaryIs><LinearRing><coordinates>103.914399,1.343399,0.0 103.914151,1.343587,0.0 103.913438,1.344127,0.0 103.913331,1.344208,0.0 103.912995,1.344463,0.0 103.912189,1.343755,0.0 103.91185,1.343457,0.0 103.911562,1.343204,0.0 103.911253,1.342932,0.0 103.911194,1.342881,0.0 103.911164,1.342859,0.0 103.910958,1.342674,0.0 103.91067,1.342421,0.0 103.910507,1.342278,0.0 103.910467,1.342243,0.0 103.91027,1.342069,0.0 103.909908,1.341752,0.0 103.90989,1.341738,0.0 103.908872,1.340834,0.0 103.908872,1.340833,0.0 103.908816,1.340879,0.0 103.908798,1.340894,0.0 103.908725,1.340954,0.0 103.908527,1.341117,0.0 103.908541,1.341087,0.0 103.908697,1.340791,0.0 103.908695,1.340713,0.0 103.908691,1.34054,0.0 103.908445,1.340042,0.0 103.908197,1.339795,0.0 103.907591,1.339165,0.0 103.907483,1.339171,0.0 103.907062,1.339167,0.0 103.905747,1.339174,0.0 103.904923,1.339178,0.0 103.904716,1.33918,0.0 103.902331,1.339204,0.0 103.90233,1.339202,0.0 103.902259,1.339046,0.0 103.902185,1.338884,0.0 103.902098,1.3387,0.0 103.901236,1.338897,0.0 103.901158,1.338913,0.0 103.90101,1.338948,0.0 103.900757,1.339019,0.0 103.900667,1.339047,0.0 103.900472,1.339119,0.0 103.90023,1.339201,0.0 103.899918,1.339315,0.0 103.899752,1.339384,0.0 103.899332,1.339568,0.0 103.899119,1.339678,0.0 103.899005,1.339742,0.0 103.898711,1.339905,0.0 103.89794,1.340357,0.0 103.8976,1.339813,0.0 103.897117,1.339109,0.0 103.896837,1.338661,0.0 103.896558,1.33829,0.0 103.896303,1.337944,0.0 103.896176,1.337797,0.0 103.896209,1.337764,0.0 103.896758,1.337204,0.0 103.897169,1.33683,0.0 103.897555,1.336459,0.0 103.897597,1.336419,0.0 103.898193,1.335845,0.0 103.898756,1.335303,0.0 103.899137,1.334936,0.0 103.899389,1.334693,0.0 103.899664,1.334428,0.0 103.899797,1.334302,0.0 103.899812,1.334289,0.0 103.899978,1.334127,0.0 103.900151,1.333958,0.0 103.900259,1.333853,0.0 103.900576,1.333547,0.0 103.900966,1.333174,0.0 103.901286,1.332865,0.0 103.901471,1.332682,0.0 103.90206,1.33212,0.0 103.902167,1.332017,0.0 103.902318,1.331871,0.0 103.902527,1.331669,0.0 103.902599,1.3316,0.0 103.903084,1.331133,0.0 103.903228,1.330992,0.0 103.903292,1.33093,0.0 103.903791,1.330451,0.0 103.903961,1.330287,0.0 103.904268,1.329985,0.0 103.90469,1.329581,0.0 103.904753,1.329521,0.0 103.904823,1.329453,0.0 103.905213,1.328927,0.0 103.905395,1.328611,0.0 103.905471,1.328491,0.0 103.905635,1.328076,0.0 103.905659,1.328017,0.0 103.905753,1.327643,0.0 103.905841,1.327194,0.0 103.905853,1.326761,0.0 103.905849,1.326599,0.0 103.905794,1.326163,0.0 103.905784,1.326091,0.0 103.905721,1.325596,0.0 103.90561,1.324732,0.0 103.905592,1.324586,0.0 103.905491,1.323775,0.0 103.905471,1.323629,0.0 103.905316,1.322447,0.0 103.905064,1.320522,0.0 103.904983,1.31983,0.0 103.904942,1.3193,0.0 103.904987,1.318825,0.0 103.905043,1.318203,0.0 103.905069,1.317822,0.0 103.905086,1.31761,0.0 103.905088,1.317602,0.0 103.905217,1.316934,0.0 103.905232,1.316869,0.0 103.905461,1.31628,0.0 103.905519,1.316142,0.0 103.90561,1.315923,0.0 103.905853,1.315331,0.0 103.905872,1.315281,0.0 103.90589,1.315233,0.0 103.906085,1.314714,0.0 103.906183,1.31452,0.0 103.90624,1.314407,0.0 103.906317,1.314246,0.0 103.906366,1.314129,0.0 103.906478,1.313864,0.0 103.90667,1.31341,0.0 103.906706,1.313323,0.0 103.906771,1.31317,0.0 103.906801,1.3131,0.0 103.907192,1.312173,0.0 103.907215,1.312122,0.0 103.907663,1.311073,0.0 103.907837,1.31058,0.0 103.907977,1.310178,0.0 103.908017,1.310062,0.0 103.908022,1.310031,0.0 103.908058,1.309816,0.0 103.908215,1.309109,0.0 103.908429,1.308503,0.0 103.908535,1.308257,0.0 103.908688,1.307967,0.0 103.909018,1.307321,0.0 103.909062,1.307234,0.0 103.909525,1.306393,0.0 103.909909,1.305696,0.0 103.909983,1.305547,0.0 103.910158,1.305606,0.0 103.910548,1.305736,0.0 103.91164,1.305955,0.0 103.911876,1.306012,0.0 103.912119,1.306071,0.0 103.9132,1.306334,0.0 103.913383,1.306379,0.0 103.913554,1.306421,0.0 103.914399,1.306632,0.0 103.914766,1.306723,0.0 103.915985,1.30703,0.0 103.916526,1.307153,0.0 103.916602,1.307168,0.0 103.91695,1.307236,0.0 103.91826,1.307471,0.0 103.918325,1.307308,0.0 103.91852,1.306812,0.0 103.918562,1.306692,0.0 103.918594,1.306555,0.0 103.918781,1.30566,0.0 103.919078,1.304247,0.0 103.919127,1.304,0.0 103.919141,1.303928,0.0 103.919177,1.303749,0.0 103.919344,1.302926,0.0 103.919437,1.302416,0.0 103.919465,1.302245,0.0 103.919469,1.302224,0.0 103.919484,1.302135,0.0 103.919508,1.301999,0.0 103.919868,1.300217,0.0 103.944333,1.254108,0.0 103.948779,1.256515,0.0 103.952263,1.2584,0.0 103.953295,1.25896,0.0 103.956176,1.26052,0.0 103.957025,1.26098,0.0 103.958889,1.261989,0.0 103.965121,1.265363,0.0 103.970725,1.268395,0.0 103.976794,1.271678,0.0 103.979912,1.272163,0.0 103.98407,1.272888,0.0 103.964458,1.312745,0.0 103.963586,1.314518,0.0 103.963389,1.314959,0.0 103.963381,1.314977,0.0 103.9627,1.316458,0.0 103.96246,1.316999,0.0 103.961969,1.318107,0.0 103.961401,1.319336,0.0 103.961002,1.320182,0.0 103.960656,1.320902,0.0 103.960488,1.32121,0.0 103.960395,1.321367,0.0 103.960264,1.321536,0.0 103.960139,1.321677,0.0 103.960001,1.32181,0.0 103.959876,1.321918,0.0 103.959765,1.322001,0.0 103.959762,1.322004,0.0 103.959629,1.322104,0.0 103.959041,1.32255,0.0 103.958975,1.322604,0.0 103.957081,1.324177,0.0 103.956806,1.324405,0.0 103.956648,1.324537,0.0 103.955771,1.325269,0.0 103.95577,1.32527,0.0 103.954172,1.326604,0.0 103.953969,1.32688,0.0 103.952887,1.328519,0.0 103.951952,1.329917,0.0 103.951853,1.330064,0.0 103.951851,1.330067,0.0 103.951847,1.330073,0.0 103.951742,1.330229,0.0 103.950758,1.331692,0.0 103.950306,1.332365,0.0 103.949456,1.333631,0.0 103.949386,1.333735,0.0 103.949292,1.333873,0.0 103.948975,1.334334,0.0 103.948506,1.334427,0.0 103.948435,1.334441,0.0 103.943699,1.335374,0.0 103.943489,1.335407,0.0 103.942833,1.335534,0.0 103.941541,1.335785,0.0 103.940604,1.335956,0.0 103.940346,1.33601,0.0 103.940335,1.336012,0.0 103.940316,1.336016,0.0 103.940315,1.336017,0.0 103.940094,1.336063,0.0 103.939147,1.336274,0.0 103.939012,1.336316,0.0 103.938887,1.336366,0.0 103.938766,1.336424,0.0 103.938649,1.336491,0.0 103.938592,1.33653,0.0 103.938538,1.336567,0.0 103.938479,1.336613,0.0 103.938432,1.33665,0.0 103.93833,1.336743,0.0 103.937914,1.337155,0.0 103.937821,1.337262,0.0 103.935669,1.339386,0.0 103.935498,1.33956,0.0 103.931929,1.343094,0.0 103.931025,1.344038,0.0 103.930408,1.344658,0.0 103.930249,1.344802,0.0 103.929757,1.34525,0.0 103.92935,1.345548,0.0 103.928384,1.346155,0.0 103.927444,1.346724,0.0 103.926298,1.347443,0.0 103.926114,1.347602,0.0 103.925483,1.348144,0.0 103.925152,1.348429,0.0 103.924992,1.348567,0.0 103.92497,1.348585,0.0 103.924935,1.348548,0.0 103.92462,1.348299,0.0 103.924216,1.348042,0.0 103.923601,1.347756,0.0 103.923028,1.347497,0.0 103.921438,1.346818,0.0 103.920947,1.346606,0.0 103.920092,1.346238,0.0 103.919765,1.34606,0.0 103.919246,1.345718,0.0 103.918644,1.345243,0.0 103.918168,1.344858,0.0 103.917503,1.344266,0.0 103.916934,1.343759,0.0 103.91644,1.343176,0.0 103.915903,1.342288,0.0 103.915896,1.342275,0.0 103.915696,1.342427,0.0 103.915463,1.342605,0.0 103.915435,1.342621,0.0 103.915188,1.342806,0.0 103.914871,1.343044,0.0 103.914538,1.343293,0.0 103.914399,1.343399,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
